Month.no,Category,Peak Demand,Peak Met,Demand-Met
1,22-Jan,193089.8719,192182.2703,907.6016
2,22-Feb,193859.3457,193587.9434,271.4023
3,22-Mar,201954.6872,199429.6893,2524.9979
4,22-Apr,215888.2032,207231.355,8656.8482
5,22-May,205995.6402,204474.1941,1521.4461
6,22-Jun,212341.2289,211725.8154,615.4135
7,22-Jul,192363.0078,190355.3113,2007.6965
8,22-Aug,196611.4834,195226.0706,1385.4128
9,22-Sep,200351.4079,199501.0327,850.3752
10,22-Oct,187041.152,186900,141.152
11,22-Nov,188481.0962,187346.1338,1134.9624
12,22-Dec,206488.6276,205101.4336,1387.194
13,23-Jan,212559.275,210724.9495,1834.3255
14,23-Feb,211214.6261,209766.6292,1447.9969
15,23-Mar,209361.4453,208927.8306,433.6147
